,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000368,1648.0,135.0,5.75,0.0,2.0,240.5780618,0.02983294,0.91,1.02
1000369,1904.0,67.0,5.75,0.0,2.0,29.6038563,0.00619743,0.92,0.92
1000370,3770.0,687.0,1.75,0.0,1.0,49.019879,0.01033981,0.82,0.95
1000371,3897.0,124.0,3.5,0.0,0.0,12.73865475,0.00310589,0.9,0.86
1000372,2038.0,167.0,18.75,0.0,5.5,4.67064,0.00112183,0.98,0.93
1000373,953.0,50.0,8.0,0.75,2.75,102.4901709,0.02318658,0.85,0.91
1000374,3438.0,267.0,13.0,0.0,5.75,53.98772225,0.01065506,1.19,0.94
1000375,2934.0,206.0,15.75,0.0,8.75,88.376987,0.01710906,0.97,0.95
1000376,2239.0,125.0,8.25,0.0,3.5,105.4981593,0.01873396,0.93,1.05
1000377,2204.0,285.0,5.25,0.0,0.0,95.68375933,0.02340384,0.81,0.81
1000378,1511.0,129.0,8.5,0.0,0.0,69.101495,0.01280927,1.0,0.93
1000379,3777.0,1230.0,15.5,0.0,5.75,46.85935325,0.0089779,1.07,0.95
1000380,2816.0,429.0,28.5,0.0,11.0,336.5475878,0.08741765,0.81,1.02
1000381,2486.0,302.0,5.75,0.0,4.25,61.98689183,0.01032379,0.84,0.97
1000382,3498.0,144.0,13.75,0.0,0.75,30.47904186,0.00598298,0.84,0.89
1000383,1188.0,334.0,10.25,0.0,0.0,15.06013458,0.00366428,0.83,0.82
1000384,2421.0,151.0,8.0,0.0,2.75,4.9623705,0.00087654,0.89,0.82
1000385,2011.0,605.0,16.75,0.0,6.25,495.4892331,0.1183263,0.98,1.05
1000386,1832.0,172.0,23.5,0.0,1.25,564.7081829,0.11564161,0.82,0.85
1000387,2311.0,180.0,15.75,0.0,2.5,78.7807985,0.01912339,0.8,0.88
1000388,3728.0,232.0,5.5,0.0,1.75,17.26928775,0.0041268,1.07,1.06
1000389,3479.0,329.0,21.0,0.0,7.25,10.7649635,0.00249342,0.92,0.93
1000390,2889.0,66.0,6.0,0.0,2.75,69.87280025,0.01828551,0.97,0.9
1000391,3639.0,255.0,8.5,0.0,2.0,17.49572125,0.00450624,0.79,0.79
1000392,3033.0,171.0,13.25,0.0,8.5,69.66963071,0.01596426,1.2,1.08
1000393,2106.0,398.0,8.5,0.0,4.75,95.334318,0.01891027,0.8,0.88
1000394,4966.0,192.0,8.25,0.0,1.25,254.4563673,0.05870305,1.01,0.97
1000395,3921.0,153.0,8.25,0.0,5.25,59.80039125,0.00714429,0.98,1.05
1000396,1795.0,160.0,6.5,0.0,0.25,211.161807,0.03783311,0.86,1.01
1000397,153.0,128.0,4.75,0.0,1.25,33.0191385,0.00734782,1.53,1.27
1000398,5549.0,159.0,9.75,0.0,1.0,30.30162175,0.00921105,0.83,1.02
1000399,4032.0,640.0,5.5,0.0,3.25,30.96610375,0.00619457,0.94,1.0
1000400,3942.0,218.0,3.5,0.0,0.0,22.09649733,0.00507499,0.76,0.9
1000401,4504.0,121.0,17.75,0.0,4.75,44.48386155,0.00800102,0.95,1.02
1000402,2351.0,540.0,23.75,0.0,3.75,46.578362,0.01200874,0.85,1.02
1000403,4247.0,684.0,15.25,0.0,6.25,43.552773,0.00917161,0.77,0.92
1000404,2881.0,339.0,13.5,0.0,2.75,136.1162108,0.03524748,0.78,0.96
1000405,3570.0,226.0,11.75,0.0,3.75,75.597621,0.01738493,0.93,0.92
1000406,1200.0,100.0,3.25,0.0,1.0,77.6419505,0.02008739,0.84,0.86
1000407,2030.0,109.0,3.25,0.0,0.0,28.23849575,0.00593618,1.04,1.08
1000408,3050.0,1310.0,9.75,0.0,6.25,64.83962475,0.01050791,1.06,1.08
