neighbor_code,분기당_매출_금액,2340대_매출금액
1000600,129.1459344,0.02859253
1000601,0,0
1000603,58.452156,0.01474514
1000604,98.734261,0.02457765
1000605,19.76467,0.00449102
1000606,40.43799438,0.01019918
1000607,220.6122149,0.05090334
1000608,187.5381592,0.04290296
1000609,24.03097625,0.00147938
1000611,86.13857114,0.01874449
1000612,17.91278925,0.00462917
1000613,122.5768839,0.0288186
1000614,226.6209871,0.04913004
1000615,84.69443812,0.02160076
1000616,127.7352346,0.03194331
1000617,18.11971438,0.00486531
1000618,60.46176325,0.0165842
1000619,37.21790088,0.00852045
1000620,222.4353279,0.05647812
1000621,44.01922717,0.00919566
1000622,12.642614,0.00244986
1000623,7.32116938,0.00208432
1000624,2.78439867,0.00070578
1000625,88.27968433,0.02434172
1000626,6.14500475,0.00126005
1000628,4.5296855,0.00046046
1000630,12.07193675,0.00293797
1000632,23.70650264,0.00563815
1000633,212.2426278,0.04762884
1000634,47.4311505,0.01167542
1000635,2.09257533,0.00034629
1000636,2.4612405,0.00023579
1000637,305.6457483,0.08369464
1000639,267.8074706,0.0656719
1000640,22.042432,0.00415659
1000641,51.76344038,0.01222594
1000642,27.60344667,0.00665297
1000643,201.3721598,0.04506107
1000644,628.5420891,0.15252394
1000645,87.47900775,0.02271595
1000646,57.02012671,0.01337555
1000648,37.42781127,0.00831584
1000650,106.0439043,0.02352586
1000652,25.56236662,0.00566103
1000653,121.0438539,0.02651435
1000654,18.1274915,0.00439356
1000655,52.05459609,0.01060638
1000656,0,0
1000657,26.42800225,0.00648266
1000658,14.532237,0.0028657
1000659,0.6199162,0.00015982
1000660,181.3820264,0.03645293
1000661,29.91919475,0.00577925
1000662,0,0
1000663,56.415762,0.01501218
1000664,61.37407062,0.01363066
1000666,40.283205,0.00579948
1000667,3.9444445,0
1000668,9.44814175,0.00216948
1000669,10.01683675,0.00254758
1000670,83.49486162,0.01613853
1000671,39.015744,0.00850119
1000672,21.160106,0.00431409
1000673,59.46726857,0.01176911
1000674,70.45135733,0.01511823
1000675,99.340746,0.02293161
1000676,28.38278138,0.00485801
1000677,14.72508875,0.00189291
1000679,315.0717043,0.04829363
1000680,67.752754,0.01353609
1000682,77.95347712,0.01640169
1000683,6,0.00156691
1000684,70.37757925,0.0217879
1000685,46.5574845,0.01018574
1000686,53.620565,0.00848555
1000687,206.201709,0.05076282
1000688,227.580212,0.04751873
1000689,234.7734978,0.05124427
1000690,73.6450505,0.01740346
1000691,107.375572,0.02102575
1000693,331.0374673,0.08701494
1000694,9.510145,0.00220272
1000695,39.231646,0.0100695
1000696,48.50147043,0.00933907
1000697,0,0
1000698,1065.731222,0.22943284
1000699,0,0
1000700,11.419368,0.00245773
1000702,49.08212229,0.01238366
1000703,174.0931405,0.0411282
1000704,108.7895933,0.02461145
1000705,200.8840653,0.04664494
1000706,7.075356,0.00207853
1000707,19.41962429,0.00368438
1000708,15.49412775,0.00268056
1000709,666,0.08701018
1000710,181.7328232,0.04171838
1000711,43.060573,0.00819422
1000712,404.4268278,0.09043568
1000713,48.44693412,0.01028435
1000714,10.78031,0.00234737
1000718,6.15575733,0.00190214
1000719,296.471162,0.06108504
1000720,56.227835,0.01397816
1000721,72,0.0130416
1000722,4.14108275,0.00123577
1000723,35.08397288,0.00840554
1000724,73.022539,0.01865885
1000726,63.19776114,0.01460605
1000727,61.09423025,0.01193845
1000728,79.12347367,0.017526
1000729,111.8640208,0.03085825
1000730,17.9253555,0.00506395
1000731,164.886153,0.0364061
1000732,221.7434023,0.05636909
1000733,121.0159862,0.03390189
1000734,20.78990475,0.00611693
1000735,11.633007,0.00339826
1000737,10.501141,0.00187198
1000738,109.3563983,0.02996888
1000739,301.6189401,0.07222432
1000740,82.74385225,0.01780966
1000741,55.68716771,0.00975495
1000742,20.59000786,0.0058362
1000743,65.20828654,0.01650125
1000744,167.8009309,0.03403736
1000745,144.1551674,0.03906041
1000746,83.88609412,0.02180691
1000747,37.90035514,0.00962784
1000748,15.073549,0.00378314
1000749,2.71684325,0.00076769
1000750,56.08803133,0.01151304
1000752,2.4651065,0.00052265
1000753,45.62346625,0.01197175
1000754,6.23121275,0.00178955
1000755,67.90508925,0.0146192
1000756,73.35048214,0.01970215
1000757,88.64708725,0.02154324
1000758,70.24007486,0.0185408
1000759,115.5425686,0.03087716
1000760,469.3974251,0.1207588
1000761,483.18685,0.11592505
1000763,4.63646075,0.00104172
1000764,55.20869833,0.01259229
1000765,32.51977925,0.00796104
1000766,84.19506225,0.02082358
1000767,23.703958,0.00411766
1000768,146.3052549,0.03570512
1000769,96.05260736,0.02395187
1000771,76.685103,0.01748252
1000772,37.87746038,0.00985652
1000773,111.7374479,0.02756228
1000774,188.4661545,0.04513719
1000775,89.51966483,0.01645372
1000777,34.98087092,0.00860695
1000778,758.105089,0.13325878
1000779,262.3086661,0.06713573
1000780,141.2323588,0.03052571
1000781,682.9500275,0.20073092
1000782,45.682293,0.01011487
1000783,112.3253579,0.02651651
1000785,66.56091925,0.0181821
1000786,7.5324305,0.00215258
1000788,74.73251569,0.01913701
1000789,0,0
1000790,137.5352183,0.02553931
1000791,96.58678862,0.02163858
1000792,111.6109803,0.03230346
1000793,58.70720914,0.01305395
1000795,62.04587417,0.01425815
1000796,247.3538611,0.05114469
1000797,33.27133688,0.00712647
